objectid,artist_creator_collector,date_range,object_type,extent,age_group,inscription,archival_description,title,community_descriptions,current_location,archives_identifier,archives_uri,object_location,image_small,image_thumb,archives_iiif_manifest,archives_conditions_governing_use,archives_takedown_notice,archives_conditions_governing_access,geography,topic_soligar,topic_rites_and_ceremonies_solega,topic_forests,topic_landscape_western_ghats,topic_coffee_plantations,topic_manners_and_customs_solega,topic_savanna_ecology_india,topic_sacred_space,topic_shola_forests,topic_hunting_trophies_collection_and_preservation_shikar_india,family_name_1,family_name_2,bibfame_instances,topics
obj_1,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,Machan. Ralph & Capt.C',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Images shows two people climbing a machan.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/3825fb64-8d08-4f51-a352-ce2ba99ec860/full/1642,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/3825fb64-8d08-4f51-a352-ce2ba99ec860/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/3825fb64-8d08-4f51-a352-ce2ba99ec860/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,,,Manners and customs--Solega,Savanna ecology--India,,,,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Manners and customs--Solega;Savanna ecology--India
obj_2,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,Middle aged and Elders,Capt.C & Bison 1930',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows four people standing next to a hunted bison lying in the grass.,"Image of ""Capt.C"" with members of the (Solega) community with a hunted bison. Dated 1930.
Solega elders said that grasses visible in the understory have disappeared and have been taken over by invasive species Lantana camera.",Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/4973c1ef-5ec2-41f9-92b7-3185befbd7aa/full/2764,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/4973c1ef-5ec2-41f9-92b7-3185befbd7aa/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/4973c1ef-5ec2-41f9-92b7-3185befbd7aa/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,Landscape--Western Ghats,,,Savanna ecology--India,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Forests;Landscape--Western Ghats;Savanna ecology--India;Hunting trophies -- Collection and Preservation -- Shikar--India
obj_3,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows a machan and a ladder in forest.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/d7ea3f8c-43b0-4c0c-80e5-8310dc06ff81/full/1540,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/d7ea3f8c-43b0-4c0c-80e5-8310dc06ff81/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/d7ea3f8c-43b0-4c0c-80e5-8310dc06ff81/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,Landscape--Western Ghats,,Manners and customs--Solega,Savanna ecology--India,,,,,,"Coleman, Leslie C.",Forests;Landscape--Western Ghats;Manners and customs--Solega;Savanna ecology--India
obj_4,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows a machan and a ladder in forest.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/d28777f5-3655-4024-91d1-9495e76c6708/full/1450,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/d28777f5-3655-4024-91d1-9495e76c6708/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/d28777f5-3655-4024-91d1-9495e76c6708/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,Landscape--Western Ghats,,Manners and customs--Solega,Savanna ecology--India,,,,,,"Coleman, Leslie C.",Forests;Landscape--Western Ghats;Manners and customs--Solega;Savanna ecology--India
obj_5,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,Biligiri Rangens',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows a dog with hills in the background.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/10a63260-fb60-4b33-9dc6-267c60e80b03/full/3092,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/10a63260-fb60-4b33-9dc6-267c60e80b03/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/10a63260-fb60-4b33-9dc6-267c60e80b03/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,Landscape--Western Ghats,,,,,,,,,"Coleman, Leslie C.",Forests;Landscape--Western Ghats
obj_6,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows four people next to a hunted bison lying in the grass.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/3246a7e0-1cab-448e-b021-0054006018ed/full/2661,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/3246a7e0-1cab-448e-b021-0054006018ed/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/3246a7e0-1cab-448e-b021-0054006018ed/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,Landscape--Western Ghats,,,Savanna ecology--India,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Landscape--Western Ghats;Savanna ecology--India;Hunting trophies -- Collection and Preservation -- Shikar--India
obj_7,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,Elephant in Pit 1930',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows elephant calf in a pit.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/dfb1425b-4f67-4fce-b2ce-38e541ff81e9/full/1909,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/dfb1425b-4f67-4fce-b2ce-38e541ff81e9/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/dfb1425b-4f67-4fce-b2ce-38e541ff81e9/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,,,,,,,,,,"Coleman, Leslie C.",Forests
obj_8,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows four people next to a hunted bison lying in the grass.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/8531dd20-fc83-4bd4-a9db-f623af3a03d7/full/2662,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/8531dd20-fc83-4bd4-a9db-f623af3a03d7/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/8531dd20-fc83-4bd4-a9db-f623af3a03d7/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,Landscape--Western Ghats,,,Savanna ecology--India,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Landscape--Western Ghats;Savanna ecology--India;Hunting trophies -- Collection and Preservation -- Shikar--India
obj_9,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows elephant calf in a pit.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/26bd6ac4-68e3-43e6-9c48-fa2daee55397/full/1751,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/26bd6ac4-68e3-43e6-9c48-fa2daee55397/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/26bd6ac4-68e3-43e6-9c48-fa2daee55397/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,,,,,,,,,,"Coleman, Leslie C.",Forests
obj_10,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows elephant calf in a pit.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/bcc1962d-5894-43bc-9528-3a9d2c256ff3/full/2616,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/bcc1962d-5894-43bc-9528-3a9d2c256ff3/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/bcc1962d-5894-43bc-9528-3a9d2c256ff3/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,,,,,,,,,,"Coleman, Leslie C.",Forests
obj_11,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows elephant calf in a pit.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/bc758141-feda-4392-b521-0cd723ca073f/full/1662,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/bc758141-feda-4392-b521-0cd723ca073f/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/bc758141-feda-4392-b521-0cd723ca073f/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,,,,,,,,,,"Coleman, Leslie C.",Forests
obj_12,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,Middle aged and Elders,On the way to Machan',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows five people standing next to a jeep.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/67269688-a73e-4ca7-9e1c-2e9a19114687/full/2212,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/67269688-a73e-4ca7-9e1c-2e9a19114687/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/67269688-a73e-4ca7-9e1c-2e9a19114687/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,Landscape--Western Ghats,,,,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Landscape--Western Ghats;Hunting trophies -- Collection and Preservation -- Shikar--India
obj_13,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,Tiger cubs Honnematti',"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows three tiger cubs eating with hills in the background.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/b77d042b-7ed9-46eb-806e-ddd994b1cac2/full/2240,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/b77d042b-7ed9-46eb-806e-ddd994b1cac2/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/b77d042b-7ed9-46eb-806e-ddd994b1cac2/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,Forests,,,,,,,,,,"Coleman, Leslie C.",Forests
obj_14,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows a person aiming a rifle with hills in the background.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/aee92955-3dbf-4f00-88d7-ad6103cdb16e/full/1534,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/aee92955-3dbf-4f00-88d7-ad6103cdb16e/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/aee92955-3dbf-4f00-88d7-ad6103cdb16e/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,,,,Landscape--Western Ghats,,,,,,,,Coleman Family,"Coleman, Leslie C.",Landscape--Western Ghats
obj_15,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,Middle aged and Elders,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows people walking hill slopes with rifles.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/a430b618-ccea-4ec2-a459-dce2d6034ce8/full/2121,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/a430b618-ccea-4ec2-a459-dce2d6034ce8/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/a430b618-ccea-4ec2-a459-dce2d6034ce8/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,Landscape--Western Ghats,,,Savanna ecology--India,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Landscape--Western Ghats;Savanna ecology--India;Hunting trophies -- Collection and Preservation -- Shikar--India
obj_16,Leslie Coleman,ca 1928-1931,Black and White Photograph,1,Middle aged and Elders,None,"Family photo album -- travels in south India, north India, Europe and others: Oversize family photo album with over 100 photographs stuck on sheets. Some loose sheets. Includes: Mysore Dasara procession, Chamundi, Halebid, Belur, Biligiriranga Hills (B.R. Hills), Sivasamudram, Mysore Darbar Silver Jubilee, Lalitha Mahal, Carlton House in Bangalore, Srirangapatna, Sravana Belagola Jain Shrine, Bangalore race course, Stupa in Benares, Darjeeling, Qutab Minar in Delhi, Doddaballapur, Mandya, Mysore Zoo, Bachelors' Ball in Bangalore in 1913, Photos from 'Pier 48' in likely European or English landscape with unknown family/friends, Photos from unknown (likely) East Asian country and shipping docks, unknown hilly landscape (likely in India)",Image shows people walking hill slopes with rifles.,,Archives at NCBS,MS-012-5-1-OS-6-1,https://collections.archives.ncbs.res.in/handle/42412/99,"https://iiif.archives.ncbs.res.in/iiif/2/14dd6ea4-0038-4a27-9ecd-71d272e2c450/full/2098,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/14dd6ea4-0038-4a27-9ecd-71d272e2c450/full/800,/0/default.jpg","https://iiif.archives.ncbs.res.in/iiif/2/14dd6ea4-0038-4a27-9ecd-71d272e2c450/full/450,/0/default.jpg",https://collections.archives.ncbs.res.in/server/iiif/6c39ac39-e3d0-4bcd-9082-9b2e38369b42/manifest,https://archives.ncbs.res.in/access,https://archives.ncbs.res.in/takedown,Open Access,Western Ghats (India)--Chamarajnagar--Mysore( Princely state)- India-Karnataka,Soligar,,Forests,Landscape--Western Ghats,,,Savanna ecology--India,,,Hunting trophies -- Collection and Preservation -- Shikar--India,,Coleman Family,"Coleman, Leslie C.",Soligar;Forests;Landscape--Western Ghats;Savanna ecology--India;Hunting trophies -- Collection and Preservation -- Shikar--India
